dt_clms or grp,dt_clms_id,lvl,Cls1,Cls2,Cls3,Cls4,grp_data,parent1_nm,parent2_nm,parent3_nm,parent4_nm,Input_typ_freq,dt_clms_nm,50573,50574,50575
lifestyle,.1.0grp,2,.1,.0,,,grp,focus,_,,,,lifestyle,,,
balance_grp,.1.1.0grp,3,.1,.1,.0,,grp,focus,lfstyl,_,,,balance_grp,,,
rstrnt_grp,.1.1.2.0grp,4,.1,.1,.2,.0,grp,focus,lfstyl,balance,rstrnt_grp,rndm,rstrnt_grp,,,
rstrnt,.1.1.2.1data,4,.1,.1,.2,.1,data,focus,lfstyl,balance,rstrnt_grp,rndm,rstrnt,,,
rstrnt,.1.1.2.1data,4,.1,.1,.2,.1,data,focus,lfstyl,balance,rstrnt_grp,rndm,rstrnt,,,
trvl_day_grp,.1.1.3.0grp,4,.1,.1,.3,.0,grp,focus,lfstyl,balance,trvl_day_grp,,trvl_day_grp,,,
mlti_day trvl,.1.1.3data,3,.1,.1,.3,,data,focus,lfstyl,balance,rstrnt_grp,rndm,mlti_day trvl,,,
accident_grp,.1.1.4.0grp,4,.1,.1,.4,.0,grp,focus,lfstyl,balance,accident_grp,,accident_grp,,,
fell,.1.1.4data,3,.1,.1,.4,,data,focus,lfstyl,balance,accident_grp,rndm,fell,,,
party_grp,.1.1.5.0grp,4,.1,.1,.5,.0,grp,focus,lfstyl,balance,party_grp,,party_grp,,,
fmly_prty,.1.1.5data,3,.1,.1,.5,,data,focus,lfstyl,balance,rstrnt_grp,rndm,fmly_prty,,,
ovr_eat,.1.1.5data,3,.1,.1,.5,,data,focus,lfstyl,balance,rstrnt_grp,rndm,ovr_eat,,,
rstrnt_fmly,.1.1.6.3data,4,.1,.1,.6,.3,data,focus,lfstyl,food,rstrnt_grp,rndm,rstrnt_fmly,,,
motion_grp,.1.2.0grp,3,.1,.2,.0,,grp,focus,lfstyl,_,,,motion_grp,,,
cardio_grp,.1.2.1.0grp,4,.1,.2,.1,.0,grp,focus,lfstyl,motion,_,,cardio_grp,,,
tirke_hr,.1.2.1.1data,4,.1,.2,.1,.1,data,focus,lfstyl,motion,tirke_grp,mnl_dly,tirke_hr,,,
walk  stps,.1.2.2.3data,4,.1,.2,.2,.3,data,focus,lfstyl,motion,walk_grp,mnl_dly,walk  stps,,,
workout_grp,.1.2.3.0grp,4,.1,.2,.3,.0,grp,focus,lfstyl,motion,_,,workout_grp,,,
arms,.1.2.3.1data,4,.1,.2,.3,.1,data,focus,lfstyl,motion,work_grp,mnl_dly,arms,,,
legs,.1.2.3.2data,4,.1,.2,.3,.2,data,focus,lfstyl,motion,work_grp,mnl_dly,legs,,,
waist,.1.2.3.3data,4,.1,.2,.3,.3,data,focus,lfstyl,motion,work_grp,mnl_dly,waist,,,
Stretches,.1.2.3.4data,4,.1,.2,.3,.4,data,focus,lfstyl,motion,work_grp,mnl_dly,Stretches,,,
ht_lt_grp,.1.2.4.0grp,4,.1,.2,.4,.0,grp,focus,lfstyl,motion,_,,ht_lt_grp,,,
ht_tb,.1.2.4.1data,4,.1,.2,.4,.1,data,focus,lfstyl,motion,work_grp,mnl_dly,ht_tb,,,
rad_ht,.1.2.6.2data,4,.1,.2,.6,.2,data,focus,lfstyl,food,_,,rad_ht,,,
IR_hr,.1.2.6.3data,4,.1,.2,.6,.3,data,focus,lfstyl,food,,mnl_dly,IR_hr,,,
sunlite_hr,.1.2.6.4data,4,.1,.2,.6,.4,data,focus,lfstyl,food,,mnl_dly,sunlite_hr,,,
mood_cntrl_grp,.1.3.0grp,3,.1,.3,.0,,grp,focus,lfstyl,_,,,mood_cntrl_grp,,,
stress_grp,.1.3.1.0grp,4,.1,.3,.1,.0,grp,focus,lfstyl,mood_cntrl_grp,_,,stress_grp,,,
famly,.1.3.1.1data,4,.1,.3,.1,.1,data,focus,lfstyl,mood_cntrl_grp,_,rndm,famly,,,
health,.1.3.1.2data,4,.1,.3,.1,.2,data,focus,lfstyl,mood_cntrl_grp,_,rndm,health,,,
home,.1.3.1.3data,4,.1,.3,.1,.3,data,focus,lfstyl,mood_cntrl_grp,_,rndm,home,,,
marriage,.1.3.1.4data,4,.1,.3,.1,.4,data,focus,lfstyl,mood_cntrl_grp,_,rndm,marriage,,,
anger grp,.1.3.2.0grp,4,.1,.3,.2,.0,grp,focus,lfstyl,balance,anger grp,,anger grp,,,
situation,.1.3.2.1data,4,.1,.3,.2,.1,data,focus,lfstyl,balance,anger grp,rndm,situation,,,
relationships,.1.3.2.2data,4,.1,.3,.2,.2,data,focus,lfstyl,balance,anger grp,rndm,relationships,,,
food_grp,.1.4.0grp,3,.1,.4,.0,,grp,focus,lfstyl,_,,,food_grp,,,
sngl_pharm_grp,.1.4.1.0grp,4,.1,.4,.1,.0,grp,focus,lfstyl,food,_,,sngl_pharm_grp,,,
Ivermectin,.1.4.1.1data,4,.1,.4,.1,.1,data,focus,lfstyl,food,pharm_grp,rndm,Ivermectin,,,
Lazix,.1.4.1.2data,4,.1,.4,.1,.2,data,focus,lfstyl,food,pharm_grp,rndm,Lazix,,,
pwdr_grp,.1.4.10.0grp,4,.1,.4,.10,.0,grp,focus,lfstyl,food,_,,pwdr_grp,,,
NMN,.1.4.10.1data,4,.1,.4,.10,.1,data,focus,lfstyl,food,pwdr_grp,mnl_dly,NMN,,,
Psyllium,.1.4.10.2data,4,.1,.4,.10,.2,data,focus,lfstyl,food,pwdr_grp,mnl_dly,Psyllium,,,
d_ribose,.1.4.10.3data,4,.1,.4,.10,.3,data,focus,lfstyl,food,pwdr_grp,mnl_dly,d_ribose,,,
vit_B8,.1.4.10.4data,4,.1,.4,.10,.4,data,focus,lfstyl,food,pwdr_grp,mnl_dly,vit_B8,,,
other1,.1.4.10.5data,4,.1,.4,.10,.5,data,focus,lfstyl,food,pwdr_grp,rndm,other1,,,
Other_pwdr,.1.4.10.9data,4,.1,.4,.10,.9,data,focus,lfstyl,food,pwdr_grp,rndm,Other_pwdr,,,
Other2,.1.4.10.9data,4,.1,.4,.10,.9,data,focus,lfstyl,food,pwdr_grp,rndm,Other2,,,
Other3,.1.4.10.9data,4,.1,.4,.10,.9,data,focus,lfstyl,food,pwdr_grp,rndm,Other3,,,
Essential oil_grp,.1.4.11.0grp,4,.1,.4,.11,.0,grp,focus,lfstyl,food,_,,Essential oil_grp,,,
Lavender,.1.4.11.1data,4,.1,.4,.11,.1,data,focus,lfstyl,food,Essential oil_grp,rndm,Lavender,,,
Peppermint,.1.4.11.2data,4,.1,.4,.11,.2,data,focus,lfstyl,food,Essential oil_grp,rndm,Peppermint,,,
Lemon,.1.4.11.3data,4,.1,.4,.11,.3,data,focus,lfstyl,food,Essential oil_grp,rndm,Lemon,,,
plls_caps_grp,.1.4.2.0grp,4,.1,.4,.2,.0,grp,focus,lfstyl,food,_,,plls_caps_grp,,,
vit K,.1.4.2.1data,4,.1,.4,.2,.1,data,focus,lfstyl,food,plls_caps_grp,mnl_dly,vit K,,,
berbrine,.1.4.2.2data,4,.1,.4,.2,.2,data,focus,lfstyl,food,plls_caps_grp,mnl_dly,berbrine,,,
Milk_Thisle,.1.4.2.3data,4,.1,.4,.2,.3,data,focus,lfstyl,food,plls_caps_grp,mnl_dly,Milk_Thisle,,,
mag_orate,.1.4.2.4data,4,.1,.4,.2,.4,data,focus,lfstyl,food,plls_caps_grp,mnl_dly,mag_orate,,,
iodine,.1.4.2.5data,4,.1,.4,.2,.5,data,focus,lfstyl,food,plls_caps_grp,mnl_dly,iodine,,,
selinium,.1.4.2.6data,4,.1,.4,.2,.6,data,focus,lfstyl,food,plls_caps_grp,mnl_dly,selinium,,,
bromelain,.1.4.2.7data,4,.1,.4,.2,.7,data,focus,lfstyl,food,plls_caps_grp,mnl_dly,bromelain,,,
aug_NAC,.1.4.2.8data,4,.1,.4,.2,.8,data,focus,lfstyl,food,plls_caps_grp,mnl_dly,aug_NAC,,,
enrgy_drnks_grp,.1.4.3.0grp,4,.1,.4,.3,.0,grp,focus,lfstyl,food,_,,enrgy_drnks_grp,,,
blue_drnk,.1.4.3.1data,4,.1,.4,.3,.1,data,focus,lfstyl,food,enrgy_drnks_grp,mnl_dly,blue_drnk,,,
enrgy_drnk,.1.4.3.1data,4,.1,.4,.3,.1,data,focus,lfstyl,food,enrgy_drnks_grp,mnl_dly,enrgy_drnk,,,
methblue,.1.4.3.1data,4,.1,.4,.3,.1,data,focus,lfstyl,food,enrgy_drnks_grp,mnl_dly,methblue,,,
__12,.1.4.3.4data,4,.1,.4,.3,.4,data,focus,lfstyl,food,enrgy_drnks_grp,rndm,__12,,,
___23,.1.4.3.5data,4,.1,.4,.3,.5,data,focus,lfstyl,food,enrgy_drnks_grp,rndm,___23,,,
trays_grp,.1.4.5.0grp,4,.1,.4,.5,.0,grp,focus,lfstyl,food,_,,trays_grp,,,
tray_mrn,.1.4.5.1data,4,.1,.4,.5,.1,data,focus,lfstyl,food,,mnl_dly,tray_mrn,,,
tray_noon,.1.4.5.2data,4,.1,.4,.5,.2,data,focus,lfstyl,food,,mnl_dly,tray_noon,,,
tray_spf,.1.4.5.3data,4,.1,.4,.5,.3,data,focus,lfstyl,food,,mnl_dly,tray_spf,,,
tray_nite,.1.4.5.4data,4,.1,.4,.5,.4,data,focus,lfstyl,food,,mnl_dly,tray_nite,,,
liquids_grp,.1.4.6.0grp,4,.1,.4,.6,.0,grp,focus,lfstyl,food,_,,liquids_grp,,,
keto_dssrt ,.1.4.6.1data,4,.1,.4,.6,.1,data,focus,lfstyl,food,,mnl_dly,keto_dssrt ,,,
MTHF_folate_b12,.1.4.6.2data,4,.1,.4,.6,.2,data,focus,lfstyl,food,enrgy_drnks_grp,mnl_dly,MTHF_folate_b12,,,
omega 3,.1.4.6.6data,4,.1,.4,.6,.6,data,focus,lfstyl,food,enrgy_drnks_grp,mnl_dly,omega 3,,,
home_std_meal_grp,.1.4.8.0grp,4,.1,.4,.8,.0,grp,focus,lfstyl,food,_,,home_std_meal_grp,,,
meat_veg_cssrl,.1.4.8.10data,4,.1,.4,.8,.10,data,focus,lfstyl,food,,rndm,meat_veg_cssrl,,,
skip_brckfsr,.1.4.8.1data,4,.1,.4,.8,.1,data,focus,lfstyl,food,,rndm,skip_brckfsr,,,
skip_nt_snck,.1.4.8.2data,4,.1,.4,.8,.2,data,focus,lfstyl,food,,rndm,skip_nt_snck,,,
egg,.1.4.8.3data,4,.1,.4,.8,.3,data,focus,lfstyl,food,,rndm,egg,,,
std_salad,.1.4.8.4data,4,.1,.4,.8,.4,data,focus,lfstyl,food,,rndm,std_salad,,,
std_brckfst,.1.4.8.5data,4,.1,.4,.8,.5,data,focus,lfstyl,food,,rndm,std_brckfst,,,
std_mt_vgtbls,.1.4.8.6data,4,.1,.4,.8,.6,data,focus,lfstyl,food,,rndm,std_mt_vgtbls,,,
beerUltra,.1.4.8.7data,4,.1,.4,.8,.7,data,focus,lfstyl,food,,rndm,beerUltra,,,
beer_mllrlt,.1.4.8.8data,4,.1,.4,.8,.8,data,focus,lfstyl,food,,rndm,beer_mllrlt,,,
wine,.1.4.8.9data,4,.1,.4,.8,.9,data,focus,lfstyl,food,,rndm,wine,,,
desert_grp,.1.4.91.0grp,4,.1,.4,.91,.0,grp,focus,lfstyl,food,_,,desert_grp,,,
x_dsrt,.1.4.911data,3,.1,.4,.91,1,data,focus,lfstyl,food,,rndm,x_dsrt,,,
slp_aids_grp,.1.4.93.0grp,4,.1,.4,.93,.0,grp,focus,lfstyl,food,_,,slp_aids_grp,,,
eliquist,.1.4.93.1data,4,.1,.4,.93,.1,data,focus,lfstyl,food,_,mnl_dly,eliquist,,,
GABA,.1.4.93.1data,4,.1,.4,.93,.1,data,focus,lfstyl,food,_,mnl_dly,GABA,,,
melatonin,.1.4.93.1data,4,.1,.4,.93,.1,data,focus,lfstyl,food,_,mnl_dly,melatonin,,,
topical_trmnts_grp,.1.4.94.0grp,4,.1,.4,.94,.0,grp,focus,lfstyl,food,_,,topical_trmnts_grp,,,
Neutralizer_gel,.1.4.94.1data,4,.1,.4,.94,.1,data,focus,lfstyl,food,,rndm,Neutralizer_gel,,,
Keto_grp,.1.4.95.0grp,4,.1,.4,.95,.0,grp,focus,lfstyl,food,_,,Keto_grp,,,
bullet oil,.1.4.95.1data,4,.1,.4,.95,.1,data,focus,lfstyl,food,,mnl_dly,bullet oil,,,
coconut_oil,.1.4.95.1data,4,.1,.4,.95,.1,data,focus,lfstyl,food,,rndm,coconut_oil,,,
Keto??,.1.4.95.1data,4,.1,.4,.95,.1,data,focus,lfstyl,food,,rndm,Keto??,,,
Keto_estr,.1.4.95.1data,4,.1,.4,.95,.1,data,focus,lfstyl,food,,mnl_dly,Keto_estr,,,
Keto_dsrt,.1.4.951data,3,.1,.4,.95,1,data,focus,lfstyl,food,,mnl_dly,Keto_dsrt,,,
sleep_grp,.1.5.0grp,3,.1,.5,.0,,grp,focus,lfstyl,_,,,sleep_grp,,,
sleep_set,.1.5.1.0grp,4,.1,.5,.1,.0,grp,focus,lfstyl,_,,,sleep_set,,,
nght_bag,.1.5.1.4data,4,.1,.5,.1,.4,data,focus,lfstyl,sleep,,mnl_dly,nght_bag,,,
nght_drnk,.1.5.1.5data,4,.1,.5,.1,.5,data,focus,lfstyl,sleep,,mnl_dly,nght_drnk,,,
watch,.1.5.1.6data,4,.1,.5,.1,.6,data,focus,lfstyl,sleep,,mnl_dly,watch,,,
Phone,.1.5.1.7data,4,.1,.5,.1,.7,data,focus,lfstyl,sleep,,mnl_dly,Phone,,,
head_phn,.1.5.1.8data,4,.1,.5,.1,.8,data,focus,lfstyl,sleep,,mnl_dly,head_phn,,,
cpap,.1.5.9.1data,4,.1,.5,.9,.1,data,focus,lfstyl,sleep,,mnl_dly,cpap,,,
o2_mtr,.1.5.9.2data,4,.1,.5,.9,.2,data,focus,lfstyl,sleep,,rndm,o2_mtr,,,
Sugar_mtr,.1.5.9.3data,4,.1,.5,.9,.3,data,focus,lfstyl,sleep,,mnl_dly,Sugar_mtr,,,
status,.2.0grp,2,.2,.0,,,grp,focus,_,,,,status,,,
msrmnts_grp,.2.1.0grp,3,.2,.1,.0,,grp,status,status,,,,msrmnts_grp,,,
inbody_grp,.2.1.1.0grp,4,.2,.1,.1,.0,grp,focus,status,msrmnts_grp,_,,inbody_grp,,,
main_mrn,.2.1.1.1data,4,.2,.1,.1,.1,data,focus,status,msrmnts_grp,inbody_grp,cmptr_dly,main_mrn,,,
vitals_grp,.2.2.1.0grp,4,.2,.2,.1,.0,grp,status,status,msrmnts_grp,_,,vitals_grp,,,
bp_sys,.2.2.1.1data,4,.2,.2,.1,.1,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,bp_sys,,,
bp_dys,.2.2.1.2data,4,.2,.2,.1,.2,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,bp_dys,,,
bp_hr,.2.2.1.3data,4,.2,.2,.1,.3,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,bp_hr,,,
o2_avg,.2.2.1.9data,4,.2,.2,.1,.9,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,o2_avg,,,
slp_hrs,.2.2.1.9data,4,.2,.2,.1,.9,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,slp_hrs,,,
slp_qlty,.2.2.1.9data,4,.2,.2,.1,.9,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,slp_qlty,,,
slp_wu,.2.2.1.9data,4,.2,.2,.1,.9,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,slp_wu,,,
sugar_av,.2.2.1.9data,4,.2,.2,.1,.9,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,sugar_av,,,
sugar_vrtn,.2.2.1.9data,4,.2,.2,.1,.9,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,sugar_vrtn,,,
mood_rslt_grp,.2.3.0grp,3,.2,.3,.0,,grp,focus,status,,,,mood_rslt_grp,,,
wu_grp,.2.3.1.0grp,4,.2,.3,.1,.0,grp,status,status,msrmnts_grp,_,,wu_grp,,,
wu_drv,.2.3.1data,3,.2,.3,.1,,data,focus,status,mood_rslt_grp,,mnl_dly,wu_drv,,,
wu_leg_pain,.2.3.1data,3,.2,.3,.1,,data,status,,mood_rslt_grp,,mnl_dly,wu_leg_pain,,,
wu_mood,.2.3.1data,3,.2,.3,.1,,data,status,,mood_rslt_grp,,mnl_dly,wu_mood,,,
digstn_grp,.2.3.2.0grp,4,.2,.3,.2,.0,grp,status,status,msrmnts_grp,_,,digstn_grp,,,
bwl_hrdns,.2.3.2.1data,4,.2,.3,.2,.1,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,bwl_hrdns,,,
digstn,.2.3.2.1data,4,.2,.3,.2,.1,data,status,status,msrmnts_grp,vitals_grp,mnl_dly,digstn,,,
symptoms_grp,.2.4.0grp,3,.2,.4,.0,,grp,focus,status,,,,symptoms_grp,,,
analysis,.3.0grp,2,.3,.0,,,grp,focus,_,,,,analysis,,,
fltrd_dt_clms_grp,.3.1.0grp,3,.3,.1,.0,,grp,focus,lfstyl,analysis,,,fltrd_dt_clms_grp,,,
raw,.3.1.1data,3,.3,.1,.1,,data,focus,lfstyl,analysis,fltrd_dt_clms_grp,cmptr_dly,raw,,,
5_day,.3.1.2data,3,.3,.1,.2,,data,focus,lfstyl,analysis,fltrd_dt_clms_grp,cmptr_dly,5_day,,,
15_day,.3.1.3data,3,.3,.1,.3,,data,focus,lfstyl,analysis,fltrd_dt_clms_grp,cmptr_dly,15_day,,,
5-5_day,.3.1.4data,3,.3,.1,.4,,data,focus,lfstyl,analysis,fltrd_dt_clms_grp,cmptr_dly,5-5_day,,,
biochemistry,.4.0grp,2,.4,.0,,,grp,focus,_,,,,biochemistry,,,
clinical,.5.0grp,2,.5,.0,,,grp,focus,_,,,,clinical,,,
pharmaceutical,.6.0grp,2,.6,.0,,,grp,focus,_,,,,pharmaceutical,,,
mito_trg_grp,.6.1.0grp,3,.6,.1,.0,,grp,focus,_,,,,mito_trg_grp,,,
NMN,.6.1.1data,3,.6,.1,.1,,data,focus,_,,,mnl_dly,NMN,,,
mito_dmg_grp,.6.2.0grp,3,.6,.2,.0,,grp,focus,_,,,,mito_dmg_grp,,,
statins,.6.2.1data,3,.6,.2,.1,,data,focus,_,,,rndm,statins,,,
pain_grp,.7.0grp,2,.7,.0,,,grp,focus,_,,,,pain_grp,,,
pain_grp,.7.1.0grp,3,.7,.1,.0,,grp,focus,_,,,,pain_grp,,,
back_pain,.7.1.1data,3,.7,.1,.1,,data,focus,_,,,rndm,back_pain,,,
_______19,data,0,,,,,data,focus,lfstyl,food,,rndm,_______19,,,
_______20,data,0,,,,,data,focus,lfstyl,food,,rndm,_______20,,,
_______21,data,0,,,,,data,focus,lfstyl,food,,rndm,_______21,,,
_______22,data,0,,,,,data,focus,lfstyl,food,,rndm,_______22,,,
_______23,data,0,,,,,data,focus,lfstyl,food,,rndm,_______23,,,
_______24,data,0,,,,,data,focus,lfstyl,food,,rndm,_______24,,,
_______25,data,0,,,,,data,focus,lfstyl,food,,rndm,_______25,,,
_______26,data,0,,,,,data,focus,lfstyl,food,,rndm,_______26,,,
,.2.6.3data,3,,.2,.6,.3,data,focus,lfstyl,food,,mnl_dly,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
